id;id_objetivo;llave;meta_id;meta_texto;terminos;met_conc
1;1;1.1;1;Erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1 25 dólares de los Estados Unidos al día.;pobreza vulnerable miseria ;1.1 Erradicar para todas las personas y en todo el mundo la pobreza extrema (actualmente se considera que sufren pobreza extrema las personas que viven con menos de 1 25 dólares de los Estados Unidos al día.
2;1;1.2;2;"Reducir al menos a la mitad la proporción de hombres  mujeres y niños de todas las
edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales.";pobreza políticas sociales  ayudas de gobierno   subsidio ;"1.2 Reducir al menos a la mitad la proporción de hombres  mujeres y niños de todas las
edades que viven en la pobreza en todas sus dimensiones con arreglo a las definiciones nacionales."
3;1;1.3;3;Implementar a nivel nacional sistemas y medidas apropiados de protección social para todos  incluidos niveles mínimos  y  de aquí a 2030  lograr una amplia cobertura de las personas pobres y vulnerables.;protección social  pobre  vulnerable sistema de seguridad social;1.3 Implementar a nivel nacional sistemas y medidas apropiados de protección social para todos  incluidos niveles mínimos  y  de aquí a 2030  lograr una amplia cobertura de las personas pobres y vulnerables.
4;1;1.4;4;Garantizar que todos los hombres y mujeres  en particular los pobres y los vulnerables  tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos  la propiedad y el control de la tierra y otros bienes  la herencia  los recursos naturales  las nuevas tecnologías apropiadas y los servicios financieros  incluida la microfinanciación.; derechos  propiedad  propietario arrendatario;1.4 Garantizar que todos los hombres y mujeres  en particular los pobres y los vulnerables  tengan los mismos derechos a los recursos económicos y acceso a los servicios básicos  la propiedad y el control de la tierra y otros bienes  la herencia  los recursos naturales  las nuevas tecnologías apropiadas y los servicios financieros  incluida la microfinanciación.
5;1;1.5;5;Fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos  sociales y ambientales.;casa pobre pobreza materiales paredes techo piso terreno;1.5 Fomentar la resiliencia de los pobres y las personas que se encuentran en situaciones de vulnerabilidad y reducir su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otras perturbaciones y desastres económicos  sociales y ambientales.
6;1;1.6;a;Garantizar una movilización significativa de recursos procedentes de diversas fuentes  incluso mediante la mejora de la cooperación para el desarrollo  a fin de proporcionar medios suficientes y previsibles a los países en desarrollo  en particular los países menos adelantados  para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones.;pobreza  cooperación  ayuda  desarrollo     ;1.a Garantizar una movilización significativa de recursos procedentes de diversas fuentes  incluso mediante la mejora de la cooperación para el desarrollo  a fin de proporcionar medios suficientes y previsibles a los países en desarrollo  en particular los países menos adelantados  para que implementen programas y políticas encaminados a poner fin a la pobreza en todas sus dimensiones.
7;1;1.7;b;Crear marcos normativos sólidos en los planos nacional  regional e internacional  sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de género  a fin de apoyar la inversión acelerada en medidas para erradicar la pobreza.;pobreza  género ;1.b Crear marcos normativos sólidos en los planos nacional  regional e internacional  sobre la base de estrategias de desarrollo en favor de los pobres que tengan en cuenta las cuestiones de género  a fin de apoyar la inversión acelerada en medidas para erradicar la pobreza.
8;2;2.1;1;Poner fin al hambre y asegurar el acceso de todas las personas  en particular los pobres y las personas en situaciones de vulnerabilidad  incluidos los niños menores de 1 año  a una alimentación sana  nutritiva y suficiente durante todo el año.;hambre  desnutrición  alimentación dieta  inseguridad alimentaria  lactancia materna  desayuno almuerzo mercado lonchera ;2.1 Poner fin al hambre y asegurar el acceso de todas las personas  en particular los pobres y las personas en situaciones de vulnerabilidad  incluidos los niños menores de 1 año  a una alimentación sana  nutritiva y suficiente durante todo el año.
9;2;2.2;2;"Poner fin a todas las formas de malnutrición  incluso logrando  a más tardar en 2025  las
metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años  y abordar las necesidades de nutrición de las adolescentes  las mujeres embarazadas y lactantes y las personas de edad.";hambre  desnutrición   embarazo  lactancia nutrición comida  alimentos   bajo peso ;"2.2 Poner fin a todas las formas de malnutrición  incluso logrando  a más tardar en 2025  las
metas convenidas internacionalmente sobre el retraso del crecimiento y la emaciación de los niños menores de 5 años  y abordar las necesidades de nutrición de las adolescentes  las mujeres embarazadas y lactantes y las personas de edad."
10;2;2.3;3;Duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala  en particular las mujeres  los pueblos indígenas  los agricultores familiares  los ganaderos y los pescadores  entre otras cosas mediante un acceso seguro y equitativo a las tierras  a otros recursos e insumos de producción y a los conocimientos  los servicios financieros  los mercados y las oportunidades para añadir valor y obtener empleos no agrícolas.;productos agrícolas  agricultura  cultivos  siembra  sembrar  campo  campesino  campesina  ganadería  ganaderos  tierra     agotamiento capacidad agrícola   agroindustria  disminución económica rural  intemediarios  despensa agrícola  política de seguridad alimentaria  ;2.3 Duplicar la productividad agrícola y los ingresos de los productores de alimentos en pequeña escala  en particular las mujeres  los pueblos indígenas  los agricultores familiares  los ganaderos y los pescadores  entre otras cosas mediante un acceso seguro y equitativo a las tierras  a otros recursos e insumos de producción y a los conocimientos  los servicios financieros  los mercados y las oportunidades para añadir valor y obtener empleos no agrícolas.
